target|separation|separation_uncertainty|position_angle|pa_uncertainty|filter_name|delta_magnitude|dm_uncertainty|primary_spt|companion_spt
3588|1.141|0.008|27.307|0.18|Hcont|4.435|0.021|F4V|M3V
3588|2.551|0.018|321.509|0.081|Hcont|6.311|0.05|F4V|M5V
3588|1.149|0.008|27.528|0.179|Kcont|4.256|0.028|F4V|M3V
3588|2.539|0.018|321.376|0.081|Kcont|6.109|0.086|F4V|M5V
5689|1.021|0.007|147.496|0.202|Hcont|3.165|0.014|G2V|M2.5V
5689|1.017|0.007|147.858|0.202|Kcont|2.965|0.027|G2V|M2.5V
6907|0.899|0.006|288.281|0.229|Hcont|1.599|0.008|K1V|M0.5V
6907|0.9|0.006|288.588|0.229|Kcont|1.482|0.013|K1V|M0.5V
7030|1.937|0.014|57.748|0.106|Hcont|2.838|0.008|K4V|M3.5V
7030|1.937|0.014|57.915|0.106|Kcont|2.578|0.008|K4V|M3V
5750|1.353|0.01|204.64|0.152|Hcont|3.082|0.017|K9V|M4.5V
5750|1.356|0.01|204.453|0.152|Kcont|2.865|0.018|K9V|M4.5V
5786|1.043|0.007|239.252|0.197|Hcont|3.651|0.017|F7V|M2V
5786|1.04|0.007|239.3|0.198|Kcont|3.414|0.014|F7V|M2V
6076|3.243|0.023|31.972|0.063|Hcont|3.955|0.016|F4V|M2V
6076|3.242|0.023|32.134|0.063|Kcont|3.733|0.014|F4V|M2V
6646|2.465|0.018|25.377|0.083|Hcont|7.524|0.093|F1V|M6V
6646|2.456|0.018|25.744|0.084|Kcont|7.44|0.088|F1V|M6.5V
5808|0.989|0.007|293.469|0.208|Kcont|3.452|0.02|G3V|M3V
5847|0.477|0.003|38.517|0.431|Hcont|1.79|0.008|F9.5V|K6V
5847|0.478|0.003|37.661|0.431|Kcont|1.789|0.007|F9.5V|K7V
