SpT,Teff,logT,BCv,logL,Mbol,R_Rsun,Mv,B-V,Bt-Vt,G-V,Bp-Rp,G-Rp,M_G,b-y,U-B,V-Rc,V-Ic,V-Ks,J-H,H-Ks,M_J,M_Ks,Ks-W1,W1-W2,W1-W3,W1-W4,g-r,r-i,i-z,z-Y,Msun,M_H,M_V,M_Rp,M_W1,M_B,M_Bp,M_Rc,M_Ic,M_W2,M_W3,M_W4,M_U
O3V,45900,4.662,-4.01,5.82,-9.81,13.43,-5.8,-0.33,,,,,,,-1.175,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,
O4V,42900,4.632,-3.89,5.652,-9.39,12.13,-5.5,-0.326,,,,,,,-1.16,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,
O5V,41400,4.617,-3.76,5.54,-9.11,11.45,-5.35,-0.323,,0.01,,,,-0.133,-1.15,,,,,,,,,,,,-0.62,,,,43.0,,,,,,,,,,,,
O5.5V,40400,4.606,-3.67,5.444,-8.87,10.71,-5.2,-0.322,,,,,,-0.133,-1.145,,,,,,,,,,,,-0.62,,,,38.0,,,,,,,,,,,,
O6V,39800,4.6,-3.57,5.364,-8.67,10.27,-5.1,-0.321,,,,,,-0.132,-1.14,,,,,,,,,,,,-0.62,,,,35.0,,,,,,,,,,,,
O6.5V,38000,4.58,-3.49,5.272,-8.44,9.82,-4.95,-0.319,,,,,,-0.131,-1.135,,,,,,,,,,,,-0.62,,,,31.0,,,,,,,,,,,,
O7V,37900,4.579,-3.41,5.18,-8.21,9.42,-4.8,-0.318,,,,,,-0.13,-1.13,,,,,,,,,,,,-0.62,,,,28.0,,,,,,,,,,,,
O7.5V,36100,4.558,-3.33,5.088,-7.98,8.95,-4.65,-0.317,,,,,,-0.13,-1.125,,,,,,,,,,,,-0.62,,,,26.0,,,,,,,,,,,,
O8V,35100,4.545,-3.24,4.992,-7.74,8.47,-4.5,-0.315,,0.0,,,,-0.129,-1.12,,,,,,,,,,,,-0.62,,,,23.6,,,,,,,,,,,,
O8.5V,34300,4.535,-3.18,4.908,-7.53,8.06,-4.35,-0.314,,,,,,-0.128,-1.115,,,,,,,,,,,,-0.62,,,,21.9,,,,,,,,,,,,
O9V,33300,4.522,-3.11,4.82,-7.31,7.72,-4.2,-0.312,,,,,,-0.127,-1.11,,-0.369,-1.0,-0.164,-0.071,-3.44,-3.2,,,,,-0.62,,,,20.2,-3.271,-4.2,,,-4.512,,,-3.831,,,,-5.622
O9.5V,31900,4.504,-3.01,4.72,-7.06,7.5,-4.05,-0.307,,,,,,-0.125,-1.09,,-0.361,-0.977,-0.161,-0.069,-3.3,-3.073,,,,,-0.605,,,,18.7,-3.142,-4.05,,,-4.357,,,-3.689,,,,-5.447
B0V,31400,4.497,-2.99,4.652,-6.89,7.16,-3.9,-0.301,,0.01,,,,-0.122,-1.07,,-0.355,-0.958,-0.159,-0.067,-3.17,-2.942,0.016,,,,-0.59,,,,17.7,-3.009,-3.9,,-2.958,-4.201,,,-3.545,,,,-5.271
B0.5V,29000,4.462,-2.83,4.428,-6.33,6.48,-3.5,-0.289,,0.01,,,,-0.12,-1.03,,-0.338,-0.913,-0.153,-0.063,-2.8,-2.587,0.017,,,,-0.54,,,,14.8,-2.65,-3.5,,-2.604,-3.789,,,-3.162,,,,-4.819
B1V,26000,4.415,-2.58,4.128,-5.58,5.71,-3.0,-0.278,,0.0,,,,-0.113,-0.995,-0.115,-0.325,-0.874,-0.148,-0.059,-2.33,-2.126,0.018,,,,-0.49,,,,11.8,-2.185,-3.0,,-2.144,-3.278,,-2.885,-2.675,,,,-4.273
B1.5V,24500,4.389,-2.44,3.912,-5.04,5.02,-2.6,-0.252,-0.274,-0.021,,,,-0.103,-0.91,-0.114,-0.281,-0.752,-0.132,-0.047,-2.03,-1.848,0.021,,,,-0.483,,,,9.9,-1.895,-2.6,,-1.869,-2.852,,-2.486,-2.319,,,,-3.762
B2V,20600,4.314,-2.03,3.428,-3.83,4.06,-1.8,-0.215,-0.219,0.015,,,,-0.094,-0.79,-0.094,-0.23,-0.602,-0.113,-0.032,-1.34,-1.198,0.023,,,,-0.475,,,,7.3,-1.23,-1.8,,-1.221,-2.015,,-1.706,-1.57,,,,-2.805
B2.5V,18500,4.267,-1.77,3.204,-3.27,3.89,-1.5,-0.198,-0.206,-0.003,,,,-0.087,-0.732,-0.087,-0.21,-0.544,-0.105,-0.026,-1.09,-0.956,0.025,,,,-0.468,,,,6.1,-0.982,-1.5,,-0.981,-1.698,,-1.413,-1.29,,,,-2.43
B3V,17000,4.23,-1.54,2.992,-2.74,3.61,-1.2,-0.178,-0.184,0.01,,,-1.19,-0.083,-0.673,-0.08,-0.192,-0.492,-0.098,-0.021,-0.83,-0.708,0.026,,,,-0.46,,,,5.4,-0.729,-1.2,,-0.734,-1.378,,-1.12,-1.008,,,,-2.051
B4V,16400,4.215,-1.49,2.892,-2.49,3.46,-1.0,-0.165,-0.17,0.015,,,-0.99,-0.078,-0.619,-0.074,-0.176,-0.447,-0.092,-0.016,-0.66,-0.553,0.028,,,,-0.437,,,,5.1,-0.569,-1.0,,-0.581,-1.165,,-0.926,-0.824,,,,-1.784
B5V,15700,4.196,-1.34,2.772,-2.19,3.36,-0.85,-0.156,-0.16,0.013,,,-0.84,-0.072,-0.581,-0.07,-0.165,-0.38,-0.084,-0.01,-0.54,-0.376,0.029,-0.045,-0.117,-0.07,-0.413,,,,4.7,-0.386,-0.756,,-0.405,-0.912,,-0.686,-0.591,-0.36,-0.288,-0.335,-1.493
B6V,14500,4.161,-1.13,2.568,-1.68,3.27,-0.55,-0.14,-0.142,0.02,,,-0.54,-0.066,-0.504,-0.062,-0.145,-0.358,-0.081,-0.007,-0.28,-0.192,0.03,-0.045,-0.117,-0.07,-0.39,,,,4.3,-0.199,-0.55,,-0.222,-0.69,,-0.488,-0.405,-0.177,-0.105,-0.152,-1.194
B7V,14000,4.146,-1.05,2.476,-1.45,2.94,-0.4,-0.128,-0.129,0.012,,,-0.39,-0.062,-0.459,-0.058,-0.133,-0.325,-0.077,-0.004,-0.16,-0.075,0.031,-0.045,-0.117,-0.07,-0.36,,,,3.92,-0.079,-0.4,,-0.106,-0.528,,-0.342,-0.267,-0.061,0.011,-0.036,-0.987
B8V,12300,4.09,-0.73,2.188,-0.73,2.86,0.0,-0.109,-0.107,0.02,,,-0.01,-0.045,-0.364,-0.048,-0.108,-0.254,-0.067,0.003,0.19,0.254,0.033,-0.046,-0.116,-0.067,-0.33,,,,3.38,0.257,0.0,,0.221,-0.109,,0.048,0.108,0.267,0.337,0.288,-0.473
B9V,10700,4.029,-0.42,1.864,0.08,2.49,0.5,-0.07,-0.063,0.02,-0.12,-0.036,0.515,-0.029,-0.2,-0.028,-0.061,-0.121,-0.05,0.016,0.59,0.621,0.038,-0.063,-0.104,-0.054,-0.28,,,,2.75,0.637,0.5,0.551,0.583,0.43,0.431,0.528,0.561,0.646,0.687,0.637,0.23
B9.5V,10400,4.017,-0.36,1.8,0.24,2.45,0.6,-0.05,-0.04,0.017,-0.087,-0.016,0.615,-0.021,-0.13,-0.017,-0.035,-0.048,-0.044,0.021,0.63,0.648,0.04,-0.044,-0.091,-0.043,-0.265,,,,2.68,0.669,0.6,0.631,0.608,0.55,0.544,0.617,0.635,0.652,0.699,0.651,0.42
A0V,9700,3.987,-0.21,1.584,0.78,2.193,0.99,0.0,0.013,0.015,-0.037,-0.02,1.0,0.0,-0.005,0.001,0.004,0.041,-0.032,0.028,0.95,0.949,0.042,-0.041,-0.074,-0.022,-0.25,-0.23,-0.17,,2.33,0.977,0.99,1.02,0.907,0.99,0.983,0.989,0.986,0.948,0.981,0.929,0.985
